instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,t_rank_norm,h_rank_norm,w_rank_norm,day_score,day_clustering
96,2011-04-06,2,0,4,0,3,1,1,0.39,0.39,0.47,0.26,413,2395,2808,65.8,13.54,83.58,2.95,Good day
97,2011-04-07,2,0,4,0,4,1,1,0.44,0.43,0.6,0.16,571,2570,3141,58.48,44.53,39.53,2.6,Good day
98,2011-04-08,2,0,4,0,5,1,2,0.34,0.32,0.84,0.23,172,1299,1471,75.24,92.34,71.68,3.9,Normal day
99,2011-04-09,2,0,4,0,6,0,2,0.34,0.34,0.88,0.13,879,1576,2455,74.15,95.62,23.87,3.42,Good day
100,2011-04-10,2,0,4,0,0,0,2,0.43,0.43,0.86,0.15,1188,1707,2895,60.19,93.98,31.87,3.06,Good day
101,2011-04-11,2,0,4,0,1,1,2,0.6,0.57,0.72,0.32,855,2493,3348,35.84,72.23,93.3,2.73,Good day
102,2011-04-12,2,0,4,0,2,1,2,0.5,0.49,0.74,0.27,257,1777,2034,49.73,77.56,86.18,3.13,Good day
103,2011-04-13,2,0,4,0,3,1,2,0.41,0.42,0.82,0.25,209,1953,2162,62.52,90.29,80.92,3.59,Normal day
104,2011-04-14,2,0,4,0,4,1,1,0.47,0.46,0.54,0.11,529,2738,3267,53.76,29.55,13.0,2.04,Good day
105,2011-04-15,2,0,4,1,5,0,1,0.45,0.44,0.67,0.23,642,2484,3126,57.05,60.6,71.41,3.03,Good day
106,2011-04-16,2,0,4,0,6,0,3,0.43,0.43,0.89,0.34,121,674,795,59.64,96.85,94.25,3.7,Normal day
107,2011-04-17,2,0,4,0,0,0,1,0.46,0.45,0.48,0.3,1558,2186,3744,56.02,14.5,90.9,2.73,Good day
108,2011-04-18,2,0,4,0,1,1,1,0.51,0.5,0.54,0.16,669,2760,3429,48.36,30.37,40.29,2.16,Good day
109,2011-04-19,2,0,4,0,2,1,2,0.51,0.49,0.67,0.16,409,2795,3204,49.32,59.1,37.89,2.45,Good day
110,2011-04-20,2,0,4,0,3,1,1,0.6,0.56,0.61,0.24,613,3331,3944,36.05,46.92,78.66,2.34,Good day
111,2011-04-21,2,0,4,0,4,1,1,0.46,0.45,0.41,0.33,745,3444,4189,55.27,4.99,93.43,2.64,Good day
112,2011-04-22,2,0,4,0,5,1,2,0.34,0.32,0.73,0.22,177,1506,1683,75.1,74.69,67.31,3.67,Normal day
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.45,0.89,0.23,1462,2574,4036,54.99,96.72,73.8,3.35,Good day
114,2011-04-24,2,0,4,0,0,0,2,0.58,0.55,0.81,0.19,1710,2481,4191,37.28,89.19,56.98,2.58,Good day
115,2011-04-25,2,0,4,0,1,1,1,0.61,0.57,0.78,0.19,773,3300,4073,33.79,85.23,52.67,2.39,Good day
116,2011-04-26,2,0,4,0,2,1,1,0.63,0.59,0.73,0.33,678,3722,4400,29.96,74.42,93.57,2.58,Good day
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.58,0.84,0.31,547,3325,3872,31.53,92.0,92.34,2.79,Good day
118,2011-04-28,2,0,4,0,4,1,2,0.62,0.58,0.7,0.32,569,3489,4058,31.87,68.54,93.02,2.57,Good day
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.5,0.46,0.24,878,3717,4595,48.84,11.15,78.25,2.36,Good day
120,2011-04-30,2,0,4,0,6,0,1,0.47,0.46,0.5,0.24,1965,3347,5312,52.8,20.79,75.79,2.55,Good day
121,2011-05-01,2,0,5,0,0,0,2,0.45,0.45,0.76,0.11,1138,2213,3351,56.63,82.76,12.18,2.65,Good day
122,2011-05-02,2,0,5,0,1,1,2,0.55,0.53,0.73,0.18,847,3554,4401,42.34,74.97,51.16,2.53,Good day
123,2011-05-03,2,0,5,0,2,1,2,0.62,0.58,0.7,0.34,603,3848,4451,32.08,67.58,94.73,2.59,Good day
124,2011-05-04,2,0,5,0,3,1,2,0.41,0.4,0.74,0.33,255,2378,2633,62.11,76.88,93.71,3.57,Normal day
125,2011-05-05,2,0,5,0,4,1,1,0.46,0.44,0.44,0.3,614,3819,4433,55.27,9.3,89.74,2.65,Good day
126,2011-05-06,2,0,5,0,5,1,1,0.48,0.47,0.59,0.23,894,3714,4608,51.98,41.45,72.23,2.7,Good day
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.51,0.54,0.16,1612,3102,4714,47.74,29.96,38.85,2.12,Good day
128,2011-05-08,2,0,5,0,0,0,1,0.53,0.52,0.63,0.07,1401,2932,4333,46.37,50.96,4.38,1.94,Good day
129,2011-05-09,2,0,5,0,1,1,1,0.53,0.53,0.59,0.18,664,3698,4362,45.28,41.04,48.02,2.25,Good day
130,2011-05-10,2,0,5,0,2,1,1,0.53,0.52,0.49,0.12,694,4109,4803,45.28,16.76,15.18,1.68,Good day
131,2011-05-11,2,0,5,0,3,1,1,0.54,0.53,0.63,0.12,550,3632,4182,43.3,51.16,17.51,1.99,Good day
132,2011-05-12,2,0,5,0,4,1,1,0.54,0.52,0.75,0.19,695,4169,4864,44.73,79.48,55.27,2.69,Good day
133,2011-05-13,2,0,5,0,5,1,2,0.51,0.49,0.86,0.18,692,3413,4105,48.36,94.66,49.66,2.89,Good day
134,2011-05-14,2,0,5,0,6,0,2,0.52,0.5,0.92,0.13,902,2507,3409,47.54,98.77,25.1,2.66,Good day
135,2011-05-15,2,0,5,0,0,0,2,0.56,0.54,0.87,0.15,1582,2971,4553,40.15,94.94,34.88,2.5,Good day
136,2011-05-16,2,0,5,0,1,1,1,0.58,0.55,0.79,0.13,773,3185,3958,37.89,85.77,20.93,2.2,Good day
137,2011-05-17,2,0,5,0,2,1,2,0.56,0.54,0.84,0.28,678,3445,4123,40.49,92.48,86.46,3.0,Good day
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.53,0.87,0.2,536,3319,3855,42.0,95.08,60.47,2.82,Good day
139,2011-05-19,2,0,5,0,4,1,2,0.53,0.51,0.83,0.11,735,3840,4575,45.69,91.24,12.45,2.41,Good day
140,2011-05-20,2,0,5,0,5,1,1,0.54,0.53,0.72,0.13,909,4008,4917,44.6,72.78,19.97,2.27,Good day
141,2011-05-21,2,0,5,0,6,0,1,0.6,0.57,0.63,0.12,2258,3547,5805,34.47,50.07,17.72,1.71,Good day
142,2011-05-22,2,0,5,0,0,0,1,0.6,0.57,0.75,0.15,1576,3084,4660,34.13,79.75,32.56,2.15,Good day
143,2011-05-23,2,0,5,0,1,1,2,0.63,0.59,0.81,0.23,836,3438,4274,29.96,88.85,75.24,2.54,Good day
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.6,0.74,0.21,659,3833,4492,24.01,77.84,62.45,2.12,Good day
145,2011-05-25,2,0,5,0,3,1,1,0.66,0.62,0.7,0.15,740,4238,4978,23.8,67.31,35.98,1.75,Good day
146,2011-05-26,2,0,5,0,4,1,1,0.71,0.65,0.68,0.2,758,3919,4677,16.07,62.04,59.64,1.7,Good day
147,2011-05-27,2,0,5,0,5,1,1,0.68,0.64,0.65,0.24,871,3808,4679,20.79,56.84,78.52,1.98,Good day
148,2011-05-28,2,0,5,0,6,0,1,0.66,0.61,0.73,0.23,2001,2757,4758,24.97,74.69,73.32,2.23,Good day
149,2011-05-29,2,0,5,0,0,0,1,0.67,0.62,0.82,0.21,2355,2433,4788,22.85,90.15,65.8,2.24,Good day
150,2011-05-30,2,0,5,1,1,0,1,0.73,0.67,0.68,0.13,1549,2549,4098,9.71,63.68,23.12,1.16,Good day
151,2011-05-31,2,0,5,0,2,1,1,0.78,0.73,0.64,0.11,673,3309,3982,4.38,52.46,13.54,0.79,Good day
152,2011-06-01,2,0,6,0,3,1,2,0.76,0.72,0.68,0.21,513,3461,3974,5.95,61.76,62.45,1.42,Good day
153,2011-06-02,2,0,6,0,4,1,1,0.72,0.64,0.3,0.29,736,4232,4968,14.5,0.96,89.06,1.34,Good day
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.59,0.35,0.25,898,4414,5312,31.53,2.05,81.81,1.78,Good day
155,2011-06-04,2,0,6,0,6,0,1,0.64,0.59,0.46,0.12,1869,3473,5342,29.0,10.74,18.88,1.17,Good day
156,2011-06-05,2,0,6,0,0,0,2,0.65,0.62,0.65,0.14,1685,3221,4906,27.15,56.43,27.63,1.66,Good day
157,2011-06-06,2,0,6,0,1,1,1,0.68,0.62,0.6,0.12,673,3875,4548,21.82,44.05,18.13,1.28,Good day
158,2011-06-07,2,0,6,0,2,1,1,0.71,0.66,0.6,0.19,763,4070,4833,16.35,43.57,54.1,1.47,Good day
159,2011-06-08,2,0,6,0,3,1,1,0.78,0.73,0.62,0.14,676,3725,4401,4.1,48.7,26.4,0.87,Good day
160,2011-06-09,2,0,6,0,4,1,2,0.81,0.76,0.57,0.15,563,3352,3915,1.78,35.16,33.65,0.74,Good day
161,2011-06-10,2,0,6,0,5,1,1,0.76,0.7,0.6,0.14,815,3771,4586,6.7,45.28,28.32,0.94,Good day
162,2011-06-11,2,0,6,0,6,0,1,0.72,0.68,0.65,0.15,1729,3237,4966,11.49,57.25,36.25,1.28,Good day
163,2011-06-12,2,0,6,0,0,0,1,0.69,0.64,0.75,0.16,1467,2993,4460,19.29,79.62,40.29,1.78,Good day
164,2011-06-13,2,0,6,0,1,1,1,0.64,0.6,0.49,0.31,863,4157,5020,29.0,18.81,91.52,1.97,Good day
165,2011-06-14,2,0,6,0,2,1,1,0.6,0.59,0.51,0.27,727,4164,4891,34.13,22.5,84.82,2.1,Good day
166,2011-06-15,2,0,6,0,3,1,1,0.63,0.59,0.47,0.17,769,4411,5180,30.78,13.68,43.09,1.49,Good day
167,2011-06-16,2,0,6,0,4,1,2,0.63,0.6,0.69,0.21,545,3222,3767,30.44,64.84,61.97,2.18,Good day
168,2011-06-17,2,0,6,0,5,1,1,0.65,0.6,0.74,0.14,863,3981,4844,26.74,76.61,29.96,1.87,Good day
169,2011-06-18,2,0,6,0,6,0,1,0.7,0.64,0.67,0.12,1807,3312,5119,18.54,60.33,17.24,1.33,Good day
170,2011-06-19,2,0,6,0,0,0,2,0.7,0.65,0.67,0.1,1639,3105,4744,17.92,59.44,10.88,1.24,Good day
171,2011-06-20,2,0,6,0,1,1,2,0.64,0.6,0.75,0.16,699,3311,4010,29.0,79.21,36.8,2.03,Good day
172,2011-06-21,3,0,6,0,2,1,2,0.68,0.64,0.77,0.17,774,4061,4835,21.0,84.13,44.94,1.92,Good day
173,2011-06-22,3,0,6,0,3,1,1,0.73,0.69,0.71,0.17,661,3846,4507,9.71,69.97,45.69,1.45,Good day
174,2011-06-23,3,0,6,0,4,1,2,0.73,0.69,0.7,0.24,746,4044,4790,10.67,69.29,77.56,1.79,Good day
175,2011-06-24,3,0,6,0,5,1,1,0.72,0.66,0.57,0.22,969,4022,4991,11.7,36.66,69.22,1.41,Good day
176,2011-06-25,3,0,6,0,6,0,1,0.7,0.64,0.48,0.21,1782,3420,5202,19.02,15.46,63.82,1.36,Good day
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.64,0.51,0.09,1920,3385,5305,21.41,23.87,8.89,0.97,Good day
178,2011-06-27,3,0,6,0,1,1,2,0.68,0.64,0.66,0.11,854,3854,4708,20.66,58.0,12.31,1.32,Good day
179,2011-06-28,3,0,6,0,2,1,1,0.74,0.69,0.63,0.14,732,3916,4648,8.48,51.5,30.51,1.07,Good day
180,2011-06-29,3,0,6,0,3,1,1,0.73,0.65,0.5,0.26,848,4377,5225,10.67,19.7,83.31,1.35,Good day
181,2011-06-30,3,0,6,0,4,1,1,0.7,0.64,0.43,0.19,1027,4488,5515,18.54,7.59,52.39,1.16,Good day
182,2011-07-01,3,0,7,0,5,1,1,0.72,0.65,0.4,0.1,1246,4116,5362,12.24,3.83,11.08,0.52,Good day
183,2011-07-02,3,0,7,0,6,0,1,0.74,0.67,0.44,0.12,2204,2915,5119,9.17,9.44,14.84,0.52,Good day
184,2011-07-03,3,0,7,0,0,0,2,0.72,0.67,0.68,0.23,2282,2367,4649,13.82,62.65,72.64,1.77,Good day
185,2011-07-04,3,0,7,1,1,0,2,0.73,0.67,0.64,0.08,3065,2978,6043,11.08,52.94,5.34,0.92,Good day
186,2011-07-05,3,0,7,0,2,1,1,0.75,0.7,0.59,0.13,1031,3634,4665,8.07,41.86,20.66,0.87,Good day
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.69,0.74,0.15,784,3845,4629,13.0,78.93,33.65,1.52,Good day
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.69,0.65,0.16,754,3838,4592,7.46,56.02,38.3,1.17,Good day
189,2011-07-08,3,0,7,0,5,1,2,0.71,0.67,0.76,0.23,692,3348,4040,15.8,81.87,70.79,2.0,Good day
190,2011-07-09,3,0,7,0,6,0,1,0.73,0.66,0.61,0.17,1988,3348,5336,9.71,45.55,43.09,1.18,Good day
191,2011-07-10,3,0,7,0,0,0,1,0.75,0.69,0.58,0.18,1743,3138,4881,7.8,38.37,51.44,1.13,Good day
192,2011-07-11,3,0,7,0,1,1,1,0.76,0.73,0.64,0.28,723,3363,4086,6.29,51.92,87.28,1.58,Good day
193,2011-07-12,3,0,7,0,2,1,1,0.79,0.74,0.56,0.2,662,3596,4258,2.33,33.65,59.78,1.0,Good day
194,2011-07-13,3,0,7,0,3,1,1,0.75,0.69,0.63,0.15,748,3594,4342,8.07,50.96,31.33,1.06,Good day
195,2011-07-14,3,0,7,0,4,1,1,0.68,0.64,0.48,0.24,888,4196,5084,21.0,13.95,78.39,1.55,Good day
196,2011-07-15,3,0,7,0,5,1,1,0.66,0.62,0.59,0.18,1318,4220,5538,23.53,42.27,50.89,1.64,Good day
197,2011-07-16,3,0,7,0,6,0,1,0.69,0.64,0.58,0.21,2418,3505,5923,19.97,39.95,63.2,1.63,Good day
198,2011-07-17,3,0,7,0,0,0,1,0.72,0.67,0.6,0.25,2006,3296,5302,13.2,45.01,79.48,1.64,Good day
199,2011-07-18,3,0,7,0,1,1,1,0.75,0.7,0.65,0.22,841,3617,4458,8.07,56.02,66.76,1.47,Good day
200,2011-07-19,3,0,7,0,2,1,1,0.78,0.75,0.65,0.13,752,3789,4541,3.9,55.75,22.64,0.9,Good day
201,2011-07-20,3,0,7,0,3,1,1,0.77,0.75,0.71,0.11,644,3688,4332,5.2,69.77,14.23,1.0,Good day
202,2011-07-21,3,0,7,0,4,1,2,0.82,0.83,0.69,0.22,632,3152,3784,1.64,65.66,69.08,1.4,Good day
203,2011-07-22,3,0,7,0,5,1,1,0.85,0.84,0.58,0.13,562,2825,3387,0.41,39.06,24.08,0.64,Good day
204,2011-07-23,3,0,7,0,6,0,1,0.85,0.8,0.5,0.13,987,2298,3285,0.27,20.11,22.91,0.44,Good day
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.79,0.55,0.17,1050,2556,3606,0.82,32.08,44.32,0.79,Good day
